Unnamed: 0,name,cik,state,issuers,cussip,shares,shares_type
15864,Neumann Advisory Hong Kong Ltd,1727862,K3,Sinovac,88160R101,43000.0,SH
18546,"SCOUT INVESTMENTS, INC.",1161927,MO,Novartis,G66721104,1098744.0,SH
18580,"SCOUT INVESTMENTS, INC.",1161927,MO,Roche,770323103,349712.0,SH
56539,RIVERBRIDGE PARTNERS LLC,1112325,MN,Roche,767744105,3499689.0,SH
77189,Calamos Advisors LLC,1316507,IL,Merck,58733RAD4,25000000.0,PRN
77272,Calamos Advisors LLC,1316507,IL,Pfizer,717071104,35234.0,SH
193117,First American Bank,1291422,IL,Glaxosmithkline,375558103,69338.0,SH
193206,First American Bank,1291422,IL,Merck,58013MEU4,300000.0,PRN
193207,First American Bank,1291422,IL,Merck,58933Y105,120307.0,SH
193241,First American Bank,1291422,IL,Pfizer,713448108,3165.0,SH
193242,First American Bank,1291422,IL,Pfizer,717081103,165196.0,SH
246823,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,919079,CA,Merck,588056101,119563.0,SH
246873,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,919079,CA,Moderna,607525102,64921.0,SH
247234,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,919079,CA,Pfizer,717071104,78436.0,SH
247596,CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,919079,CA,Sinovac,829226109,163627.0,SH
351387,"Cullen Capital Management, LLC",1362535,NY,Astrazeneca,00215W100,20785.0,SH
351417,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,30231G102,666090.0,SH
351418,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,372460105,632655.0,SH
351437,"Cullen Capital Management, LLC",1362535,NY,Merck,56501R106,231600.0,SH
351450,"Cullen Capital Management, LLC",1362535,NY,Novartis,65290C105,24045.0,SH
351451,"Cullen Capital Management, LLC",1362535,NY,Novartis,J59396101,200400.0,SH
351456,"Cullen Capital Management, LLC",1362535,NY,Pfizer,R67787102,12155.0,SH
351464,"Cullen Capital Management, LLC",1362535,NY,Roche,74762E102,5755.0,SH
351468,"Cullen Capital Management, LLC",1362535,NY,Sanofi,780259107,656345.0,SH
373435,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Astrazeneca,N07059210,25751.0,SH
373443,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Bayer,060505104,59805.0,SH
373698,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Merck,580135101,213735.0,SH
373745,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Pfizer,713448108,442670.0,SH
373767,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Roche,760759100,263947.0,SH
493765,RHUMBLINE ADVISERS,1115418,MA,Merck,588056101,71164.0,SH
493812,RHUMBLINE ADVISERS,1115418,MA,Moderna,60739U204,115586.0,SH
494115,RHUMBLINE ADVISERS,1115418,MA,Pfizer,740367404,52686.0,SH
626781,STATE STREET CORP,93751,MA,Glaxosmithkline,377316104,1347527.0,SH
627621,STATE STREET CORP,93751,MA,Merck,58844R108,219251.0,SH
627690,STATE STREET CORP,93751,MA,Moderna,60739U204,2286603.0,SH
627891,STATE STREET CORP,93751,MA,Novartis,66987E206,4235294.0,SH
628111,STATE STREET CORP,93751,MA,Pfizer,71654V408,7385059.0,SH
628446,STATE STREET CORP,93751,MA,Sanofi,800677106,4814626.0,SH
628571,STATE STREET CORP,93751,MA,Sinovac,G81477104,1274939.0,SH
628775,STATE STREET CORP,93751,MA,Astrazeneca,86745K104,230166.0,SH
637370,DIAMOND HILL CAPITAL MANAGEMENT INC,1217541,OH,Glaxosmithkline,37045V100,6130795.0,SH
637408,DIAMOND HILL CAPITAL MANAGEMENT INC,1217541,OH,Novartis,65487X102,5942.0,SH
