Unnamed: 0,name,cik,state,issuers,cussip,shares,shares_type
5263,Neumann Advisory Hong Kong Ltd,1727862,K3,Sinovac,P8696W104,315586.0,SH
25953,RIVERBRIDGE PARTNERS LLC,1112325,MN,Roche,767744105,4076884.0,SH
26154,"SCOUT INVESTMENTS, INC.",1161927,MO,Novartis,654802206,106731.0,SH
26190,"SCOUT INVESTMENTS, INC.",1161927,MO,Roche,770323103,194208.0,SH
149471,First American Bank,1291422,IL,Glaxosmithkline,375558103,69833.0,SH
149560,First American Bank,1291422,IL,Merck,585055BR6,50000.0,PRN
149561,First American Bank,1291422,IL,Merck,58933Y105,131023.0,SH
149589,First American Bank,1291422,IL,Pfizer,713448108,3165.0,SH
149590,First American Bank,1291422,IL,Pfizer,717081103,176077.0,SH
334832,BERKSHIRE ASSET MANAGEMENT LLC/PA,949012,PA,Merck,55261F104,176625.0,SH
334843,BERKSHIRE ASSET MANAGEMENT LLC/PA,949012,PA,Novartis,628778102,21107.0,SH
334852,BERKSHIRE ASSET MANAGEMENT LLC/PA,949012,PA,Pfizer,704326107,5412.0,SH
357917,"Cullen Capital Management, LLC",1362535,NY,Astrazeneca,039483102,115658.0,SH
357953,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,81369Y506,479000.0,SH
357954,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,F42768105,174100.0,SH
357977,"Cullen Capital Management, LLC",1362535,NY,Merck,559079207,3250.0,SH
357988,"Cullen Capital Management, LLC",1362535,NY,Novartis,D55535104,18500.0,SH
357989,"Cullen Capital Management, LLC",1362535,NY,Novartis,H57312649,53615.0,SH
357993,"Cullen Capital Management, LLC",1362535,NY,Pfizer,H5820Q150,5830.0,SH
358002,"Cullen Capital Management, LLC",1362535,NY,Roche,Y0697U112,24563000.0,SH
358006,"Cullen Capital Management, LLC",1362535,NY,Sanofi,749527107,11700.0,SH
382972,"Fisher Asset Management, LLC",850529,WA,Astrazeneca,038222105,5185.0,SH
383193,"Fisher Asset Management, LLC",850529,WA,Glaxosmithkline,370334104,67023.0,SH
383383,"Fisher Asset Management, LLC",850529,WA,Merck,576690101,145777.0,SH
383426,"Fisher Asset Management, LLC",850529,WA,Novartis,654902204,10430.0,SH
383475,"Fisher Asset Management, LLC",850529,WA,Pfizer,70706P104,26398.0,SH
383527,"Fisher Asset Management, LLC",850529,WA,Roche,76118Y104,17912.0,SH
383560,"Fisher Asset Management, LLC",850529,WA,Sanofi,78486Q101,1017094.0,SH
391899,JANUS HENDERSON GROUP PLC,1274173,X0,Astrazeneca,00191U102,5187.0,SH
392612,JANUS HENDERSON GROUP PLC,1274173,X0,Merck,58471A105,1548300.0,SH
392698,JANUS HENDERSON GROUP PLC,1274173,X0,Novartis,655664100,988943.0,SH
392757,JANUS HENDERSON GROUP PLC,1274173,X0,Pfizer,713448108,1984284.0,SH
392861,JANUS HENDERSON GROUP PLC,1274173,X0,Sanofi,786449207,600355.0,SH
433792,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Astrazeneca,037833100,181790.0,SH
433801,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Bayer,04650Y100,438855.0,SH
434054,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Merck,57636Q104,25353.0,SH
434102,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Pfizer,703343103,19400.0,SH
434125,KORNITZER CAPITAL MANAGEMENT INC /KS,898358,KS,Roche,755111507,8015.0,SH
442444,DIAMOND HILL CAPITAL MANAGEMENT INC,1217541,OH,Glaxosmithkline,320734106,524867.0,SH
442486,DIAMOND HILL CAPITAL MANAGEMENT INC,1217541,OH,Pfizer,65487X102,5800.0,SH
443045,"LETKO, BROSSEAU & ASSOCIATES INC",1297496,A8,Glaxosmithkline,26874R108,13000.0,SH
443060,"LETKO, BROSSEAU & ASSOCIATES INC",1297496,A8,Merck,456788108,212500.0,SH
443069,"LETKO, BROSSEAU & ASSOCIATES INC",1297496,A8,Pfizer,594918104,1800.0,SH
